"Proteins","Genes","ProT50_Frontal_Cortex","ProT50_Cerebellum","ProT50_Thalamus","ProT50_Amygdala","ProT50_Striatum","ProT50_Substantia_Nigra","ProT50_Olfactory_Bulb","ProT50_Entorhinal_Cortex","ProT50_Liver","ProT50_Kidney","ProT50_Spleen","ProT50_Lung","ProT50_Heart","ProT50_Gut"
"Q8BTJ4","Enpp4",2.49732690487937,2.39296711552388,1.28545290563335,1.90339899245953,1.50465620644771,1.75845395507822,0.433007164651333,0.81999591430721,0.752264973019122,NA,1.17262787762621,1.38185214859063,1.32786757756256,NA
"Q8BU30","Iars1",1.96854526762111,2.14195498065299,1.95262043715756,2.51065087081451,2.28533457657715,2.08797670067502,2.4485547855245,2.30763192723207,1.44281060240904,1.39365417591675,NA,1.22520892792242,NA,0.83917475646099
"Q8BU88","Mrpl22",2.54301256483793,2.589659728118,2.5504477398266,2.39726097237301,2.62025668939011,2.17702735646057,2.34255843229525,2.49741891907913,1.45535987804468,2.10543402851741,2.1915621938491,NA,3.03889898766013,NA
"Q8BUE4","Aifm2",NA,0.335168628537529,1.86024312985234,1.76915146933433,0.874440373530488,2.01177899641956,1.53645857229283,1.60532429293736,-0.151760618707806,-0.772030234950073,NA,0.960409212398034,0.822157381668937,3.09040306916476
"Q8BVE3","Atp6v1h",2.80266336361299,2.60941265326522,2.60030464808495,2.75782875273864,2.90612969746164,2.31018419667443,2.61799607060228,2.738409450277,0.690232559729423,1.53862921785955,NA,NA,1.13934279584197,1.43134528164957
"Q8BWQ6","Vps35l",2.31722925975816,2.22120969880988,2.84309457493956,2.10622016046661,2.36634667230337,2.36782381694449,2.26755444417601,2.24970103400399,0.966503599987344,NA,0.842047293889421,1.62928845594017,1.32022677027739,NA
"Q8BWZ3","Naa25",3.42068338749986,1.18360424807413,1.94368775935889,1.04487307497104,1.83178521790167,1.90833332139774,1.29674250581157,1.73655536124399,1.17713636474851,2.1438854606223,NA,2.03168294622437,2.92759329037283,NA
"Q8BYM8","Cars2",4.52495564758484,4.59336088498565,4.3564240746872,4.06103271614942,4.17551771712789,4.41190327876069,4.13304737172236,3.80143657226987,3.48170256431115,2.68122343620613,2.72739685153978,4.23785541026558,3.80945116180706,NA
"Q8BZ09","Slc25a21",3.75677259249653,3.23880939907155,3.56190098230812,4.07568397587245,4.90318493789557,3.72967870081338,3.87912249279517,3.70893421925955,2.24282221390901,2.3208450947965,NA,3.15939933924581,3.72081575696368,NA
"Q8C0D5","Efl1",1.74382536102701,2.4408401809451,1.53695839548691,1.29356169225786,1.39784575551204,1.39126194192189,1.70508127530453,1.1804953093748,1.50168962993843,1.26729618808375,NA,1.82803731917759,2.59810443081417,NA
