"Proteins","Genes","Pro_Cerebellum","Pro_Frontal_Cortex","Pro_Heart","Pro_Kidney","Pro_Liver","Pro_Lung","Pro_Spleen","Pro_Amygdala","Pro_Entorhinal_Cortex","Pro_Gut","Pro_Olfactory_Bulb","Pro_Striatum","Pro_Thalamus","Pro_Substantia_Nigra"
"Q9D6K5","Synj2bp",2.29117170263506,2.23978577201579,0.274211434164678,NA,NA,NA,NA,2.84146419163824,1.94046054802788,NA,2.13153763974902,3.13012145449003,3.33380037626189,3.1274970782245
"Q9D6K8","Fundc2",5.25818991263506,5.23788302201579,6.52056052416468,6.3368160551833,2.44712698724491,4.15739591439956,4.06938390670565,6.03158542163824,5.43331212802788,5.41918516003385,6.06936458974902,5.65769061449003,5.74346156626189,5.8682123982245
"Q9D6L8","Ppil3",3.43012979263506,3.79628220201579,1.74602566416468,2.4977152551833,1.67410370724491,2.65766712439956,3.96455362670565,3.60458669163824,3.62274288802788,4.29829357003385,3.65054317974902,2.84313381449003,3.55604834626189,3.5670689682245
"Q9D6M3","Slc25a22",7.38306402263506,8.48972688201579,3.37966901416468,4.3899662951833,6.10525142724491,1.76383025439956,2.35201761670565,8.40171405163824,8.56748443802788,4.95229076003385,8.30549689974902,8.45389889449003,8.39218937626189,7.8456471782245
"Q9D6P8","Calml3",NA,NA,NA,NA,NA,1.67953000439956,NA,NA,NA,0.83925116003385,NA,NA,NA,NA
"Q9D6R2","Idh3a",10.5191463526351,10.6072015520158,10.2777946541647,9.1403226051833,6.39651164724491,7.04496383439956,6.55154181670565,10.5864157516382,10.4446827980279,8.34919912003385,10.547054179749,10.47473619449,10.5185952062619,10.5831111582245
"Q9D6S7","Mrrf",5.83230674263506,5.83533085201579,5.13166338416468,6.3793241051833,5.13667751724491,2.99452025439956,2.81238284670565,6.23427068163824,6.16704050802788,5.74868409003385,5.89574585974902,5.69512336449003,6.03729250626189,5.9724657182245
"Q9D6T0","Nosip",3.64450889263506,1.53287064201579,-2.20279148983532,2.2876185951833,0.672540507244912,1.42998370439956,3.84780643670565,0.906119661638238,1.39762272802788,3.17006707003385,2.28022339974902,1.36488725449003,0.995337346261893,1.1256644682245
"Q9D6U8","Fam162a",7.61226725263506,6.86932081201579,8.00352099416468,6.9389498351833,6.83740469724491,5.55164384439956,5.08880187670565,7.09528504163824,6.89958559802788,6.36115833003385,7.07619951974902,7.17637493449003,6.94505193626189,7.1232579782245
"Q9D6V8","Paip2",-1.83720152136494,-0.860260123984211,0.289361234164678,0.6846420551833,0.517190397244911,0.384433834399558,1.25786712670565,0.869469281638239,NA,1.24776300003385,0.908576189749022,0.0556643014900323,0.435247196261894,0.062575915224503
"Q9D6Y7","Msra",5.83663769263506,5.58474606201579,6.16979596416468,9.4527984451833,8.92389886724491,5.40571168439956,5.61978654670565,5.60017033163824,5.51627753802788,7.63102235003385,5.60826601974902,5.33451351449003,5.56487193626189,5.7701063882245
"Q9D6Y9","Gbe1",4.95012007263506,4.55549587201579,4.99941506416468,5.9701691351833,8.51105600724491,4.54684754439956,4.55249689670565,4.83755620163824,4.32556969802788,4.77148741003385,5.11217414974902,4.52567785449003,4.73665284626189,4.8311627282245
"Q9D6Z0","Alkbh7",1.22676621263506,0.965148442015789,2.38193400416468,2.4584315251833,0.726918627244911,NA,-0.281450011294347,0.787675601638238,1.00100970802788,2.53212269003385,1.60862965974902,1.09996479449003,0.855577906261894,0.767929478224504
"Q9D6Z1","Nop56",4.54833407263506,4.94139597201579,2.54471872416468,4.8404187951833,5.99938863724491,4.34796683439956,6.04043766670565,5.47634546163824,5.35713048802788,5.86931482003385,5.58003636974902,4.97772602449003,5.60464740626189,5.0636531182245
"Q9D735","Trir",5.75058464263506,4.32770932201579,6.00354523416468,7.3210589851833,6.87095266724491,7.87255915439956,9.48764487670565,4.58460249163824,4.55761226802788,8.42547726003385,5.42852060974902,4.33601194449003,4.49072118626189,5.0030952682245
"Q9D771","Pacc1",-0.695577239364944,-0.53717078098421,-3.58088629583532,1.9206182551833,-1.48963117675509,-0.479173963600441,2.06971660670565,-0.730811667361762,-0.888514383972121,0.0115822100338509,-0.518564725250979,-0.574987282509968,0.0811034192618931,-0.525126804775496
"Q9D773","Mrpl2",3.55186087263506,3.35484904201579,3.52391038416468,4.6410179551833,3.80839986724491,2.67809547439956,2.51128316670565,3.92853756163824,4.00342462802788,4.05641584003385,3.74743162974902,3.78263425449003,3.92138006626189,3.8676389882245
"Q9D786","Haus5",NA,NA,NA,-2.8445330638167,NA,-1.10078587160044,0.842059056705654,NA,NA,-0.682649913966148,-2.83061053725098,NA,NA,NA
"Q9D7A8","Armc1",6.30116531263506,6.34233321201579,4.46416136416468,5.7767715551833,5.36604393724491,3.75698882439956,3.94848412670565,6.35066974163824,6.36108762802788,5.14372691003385,6.41696816974902,6.33171367449003,6.31246646626189,6.3195016582245
"Q9D7B6","Acad8",6.22207400263506,5.39075198201579,6.30859912416468,7.9637386851833,7.33218557724491,5.05843545439956,4.00088068670565,5.45095409163824,5.48182032802788,5.41330497003385,5.88731397974902,5.21951482449003,5.53806419626189,5.4757068382245
"Q9D7E3","Ovca2",0.222824732635058,0.527504862015789,2.56753027416468,0.669103735183299,0.747028787244911,2.01328614439956,2.39868652670565,1.20470009163824,0.40709188802788,1.65231825003385,1.21525792974902,0.176436454490033,0.745313086261893,-0.0625316857754968
